fighter_number,fighter,weight,max_fall_speed,fastfall_speed,walk_speed,initial_dash_speed,run_speed,horizontal_air_speed,horizontal_air_acceleration,gravity,traction,jumpsquat_frames,meteor_cancel_frames
01,Mario,0.5769230769230769,0.309278350515464,0.3092783505154639,0.5000000000000001,0.45454545454545453,0.16666666666666663,0.42857142857142844,0.19354838709677416,0.028771896779054434,0.06846846846846848,0.2,0.2222222222222222
02,Donkey Kong,0.9230769230769231,0.6907216494845361,0.618556701030928,0.625,0.5454545454545455,0.21750000000000003,0.6428571428571427,0.09677419354838708,0.03583537389338859,0.05567567567567569,0.4,0.2222222222222222
03,Link,0.6923076923076923,0.6391752577319589,0.9528718703976435,0.625,0.27272727272727276,0.095,0.22857142857142854,0.06451612903225806,0.04525334337916745,0.0756756756756757,0.6,0.2222222222222222
04,Samus,0.7692307692307693,0.09278350515463926,0.09278350515463911,0.4375000000000001,0.7818181818181819,0.14375,0.4999999999999999,0.19354838709677416,0.008758711621774348,0.06576576576576579,0,0.2222222222222222
05,Yoshi,0.75,0.31958762886597947,0.31958762886597936,0.5624999999999999,0.30000000000000004,0.2416666666666666,1,0.16129032258064513,0.02697071011489922,0.03711711711711712,0.4,0.1111111111111111
06,Kirby,0.19230769230769232,0.22680412371134018,0.38880706921944025,0.3125,0.36363636363636354,0.11291666666666664,0.29179331306990874,0.2580645161290322,0.012290450178941419,0.04918918918918919,0,0.2222222222222222
07,Fox,0.23076923076923078,0.877319587628866,0.8773195876288661,0.9375,1,0.4083333333333333,0.35258358662613976,0.19354838709677416,0.14649651535129027,0.06846846846846848,0,0.2222222222222222
08,Pikachu,0.21153846153846154,0.5360824742268041,0.7415316642120766,0.675,0.7272727272727273,0.2770833333333333,0.38571428571428573,0.22580645161290322,0.04289885100772273,0.06774774774774776,0,0.2222222222222222
09,Luigi,0.5576923076923077,0.24742268041237114,0.24742268041237106,0.47500000000000014,0.2545454545454546,0.1,0.11428571428571419,0.14516129032258063,0.016999434921830855,0,0.2,0.2222222222222222
10,Ness,0.5,0.3402061855670104,0.3402061855670103,0.20000000000000004,0.27272727272727276,0.12208333333333331,0.4571428571428571,0.22580645161290322,0.024180636654737235,0.05873873873873875,0.2,0.2222222222222222
11,Captain Falcon,0.6923076923076923,0.8835051546391752,0.8835051546391753,0.18750000000000003,0.9545454545454543,0.45000000000000007,0.79331306990881445,0.09677419354838708,0.06138161612356376,0.05045045045045046,0.2,0.2222222222222222
12,Jigglypuff,0,0,0,0,0.36363636363636354,0,0.9285714285714284,0.32258064516129026,0,0.08972972972972974,0.4,0.2222222222222222
